scenario,roc_auc,ap_merged,ap_not_merged,balanced_accuracy,accuracy,f1_merged,f1_not_merged,recall_merged,recall_not_merged,confusion_matrix_[tn_fp;fn_tp],raw_features,encoded_features,best_iteration,train_seconds
dummy_prior,0.5,0.6187961985216474,0.3812038014783527,0.5,0.6187961985216474,0.7645140247879973,0.0,1.0,0.0,"[[0, 722], [0, 1172]]",,,,
pr_dataset_only,0.8279659033968971,0.88856042180287,0.7535565793116118,0.6744915999357114,0.7412882787750792,0.8205128205128205,0.5368620037807184,0.9556313993174061,0.39335180055401664,"[[284, 438], [52, 1120]]",58.0,85.0,56.0,0.7608560000080615
pr_features_only,0.7736331578001948,0.8106645713757687,0.7308332975791314,0.6489297835931664,0.7254487856388595,0.8140200286123033,0.47580645161290325,0.9709897610921502,0.3268698060941828,"[[236, 486], [34, 1138]]",26.0,173.0,219.0,1.1706068000057712
combined,0.8828168577992493,0.919686894723277,0.848192681104138,0.7121158046004179,0.776663146779303,0.8449981678270428,0.6005665722379604,0.9837883959044369,0.4404432132963989,"[[318, 404], [19, 1153]]",84.0,258.0,62.0,3.4101230000378564
